City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
174,Sola,VU,-13.8833,167.55,80.8,76,20,2.57,few clouds
175,Doembang Nangbuat,TH,14.8333,100.1,81.05,86,100,8.01,overcast clouds
176,Tocopilla,CL,-22.092,-70.1979,70.2,62,11,10.51,few clouds
177,Souillac,MU,-20.5167,57.5167,75.58,69,20,11.5,few clouds
178,Provideniya,RU,64.3833,-173.3,47.12,49,100,9.66,overcast clouds
179,Fairbanks,US,64.8378,-147.7164,61.61,34,62,4.16,broken clouds
180,Lorengau,PG,-2.0226,147.2712,82.87,71,94,11.54,overcast clouds
181,Banda Aceh,ID,5.5577,95.3222,81.19,79,100,13.29,overcast clouds
182,Sao Felix Do Xingu,BR,-6.6447,-51.995,88.77,42,9,4.74,clear sky
183,Yumen,CN,40.2833,97.2,66.79,20,65,17.38,broken clouds
184,Chokurdakh,RU,70.6333,147.9167,32.02,99,100,5.48,light snow
185,De-Kastri,RU,51.4667,140.7833,37.09,97,92,2.17,overcast clouds
186,Nikolskoye,RU,59.7035,30.7861,53.49,54,1,2.21,clear sky
187,Pacific Grove,US,36.6177,-121.9166,65.21,86,20,10.36,few clouds
188,Plouzane,FR,48.3833,-4.6167,60.85,91,100,8.05,moderate rain
189,Tual,ID,-5.6667,132.75,83.07,76,23,13.89,few clouds
190,Srednekolymsk,RU,67.45,153.6833,48.96,53,100,7.99,overcast clouds
191,Kirovskiy,RU,45.0917,133.5136,48.36,93,55,2.13,broken clouds
192,New Port Richey,US,28.2442,-82.7193,94.24,61,98,7.0,overcast clouds
193,Poum,NC,-20.2333,164.0167,77.97,82,71,12.5,broken clouds
194,Yakima,US,46.4665,-120.6678,65.55,47,0,5.01,clear sky
195,Yeppoon,AU,-23.1333,150.7333,67.78,91,98,11.5,overcast clouds
196,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,76.42,31,0,4.41,clear sky
197,Matay,EG,28.419,30.7792,78.53,19,0,9.57,clear sky
198,Mandurah,AU,-32.55,115.7,60.91,72,69,28.05,light rain
199,Kapit,MY,2.0167,112.9333,72.64,97,97,0.2,overcast clouds
200,Katsuura,JP,35.1333,140.3,62.74,88,98,8.63,light rain
201,Luderitz,NA,-26.6481,15.1594,58.71,68,13,8.97,few clouds
202,Klaksvik,FO,62.2266,-6.589,49.12,89,63,3.65,broken clouds
203,Suclayin,PH,15.7568,121.5503,75.9,93,92,3.78,light rain
204,Yellowknife,CA,62.456,-114.3525,33.57,100,77,8.99,broken clouds
205,Pangnirtung,CA,66.1451,-65.7125,31.53,92,98,6.24,light snow
206,Richards Bay,ZA,-28.783,32.0377,64.56,88,94,18.01,light rain
207,Ginda,IN,30.6945,78.4932,56.71,67,46,7.14,scattered clouds
208,Palmer,US,42.1584,-72.3287,92.44,57,51,8.01,broken clouds
209,Hasaki,JP,35.7333,140.8333,61.2,80,95,6.11,overcast clouds
210,Fort Saint James,CA,54.4333,-124.25,62.02,29,6,6.82,clear sky
211,Dunedin,NZ,-45.8742,170.5036,46.8,70,100,7.0,overcast clouds
212,Tiksi,RU,71.6872,128.8694,30.51,88,100,5.93,overcast clouds
213,Hithadhoo,MV,-0.6,73.0833,83.89,71,84,12.53,broken clouds
214,Yichang,CN,30.7144,111.2847,64.71,93,43,1.74,scattered clouds
215,Lakselv,NO,70.0513,24.9718,49.82,62,0,5.75,clear sky
216,Roma,US,43.2128,-75.4557,83.95,60,100,6.91,overcast clouds
217,Hammerfest,NO,70.6634,23.6821,48.65,66,75,4.61,broken clouds
218,Kisoro,UG,-1.2854,29.685,56.97,96,100,3.6,overcast clouds
219,Severo-Kurilsk,RU,50.6789,156.125,40.26,96,100,16.84,overcast clouds
220,Voskresenskoye,RU,56.8381,45.4317,33.17,78,100,5.39,overcast clouds
221,Noyabrsk,RU,63.1994,75.4507,59.14,60,55,25.34,broken clouds
222,Pimentel,PE,-6.8367,-79.9342,71.89,60,0,20.71,clear sky
223,Svetlogorsk,BY,52.6333,29.7333,48.25,91,89,5.61,overcast clouds
224,Saldanha,ZA,-33.0117,17.9442,59.94,85,83,6.6,broken clouds
225,Tura,IN,25.5198,90.2201,72.57,94,83,3.65,broken clouds
226,Husavik,IS,66.0449,-17.3389,37.99,97,100,8.52,overcast clouds
227,Ballina,AU,-28.8667,153.5667,58.78,82,92,11.36,overcast clouds
228,Mponela,MW,-13.5319,33.7401,66.4,64,79,4.43,broken clouds
229,Rocha,UY,-34.4833,-54.3333,65.23,49,17,4.07,few clouds
230,Talaya,RU,61.3833,152.75,32.81,89,100,4.09,overcast clouds
231,Pearl River,US,41.059,-74.0218,93.07,50,59,4.0,broken clouds
232,Burnie,AU,-41.0667,145.9167,42.94,87,13,5.37,few clouds
233,Boa Vista,BR,2.8197,-60.6733,75.18,88,100,5.75,light rain
234,Fergus Falls,US,46.283,-96.0776,55.38,47,40,11.5,scattered clouds
235,Mashivka,UA,49.4431,34.8669,50.41,87,94,11.95,overcast clouds
236,Beringovskiy,RU,63.05,179.3167,38.5,82,100,8.23,overcast clouds
237,Riyadh,SA,24.6877,46.7219,95.14,8,2,11.16,clear sky
238,Trairi,BR,-3.2778,-39.2689,83.95,70,28,7.38,scattered clouds
239,Bystrzyca Klodzka,PL,50.3018,16.6423,57.61,78,81,4.38,broken clouds
240,Mackay,AU,-21.15,149.2,66.69,84,100,11.95,overcast clouds
241,Zambezi,ZM,-13.5432,23.1047,61.05,46,52,5.41,broken clouds
242,Olga,RU,43.7444,135.2892,48.25,96,24,4.83,few clouds
243,Sarangani,PH,5.4033,125.4636,82.27,75,100,7.7,overcast clouds
244,Jining,CN,35.405,116.5814,68.56,45,99,7.74,overcast clouds
245,Nabire,ID,-3.3667,135.4833,75.04,91,91,3.49,overcast clouds
246,Yar-Sale,RU,66.8333,70.8333,33.91,92,100,25.41,light snow
247,Berdyaush,RU,55.1619,59.1464,35.71,97,77,4.79,broken clouds
248,Superior,US,46.7208,-92.1041,53.96,46,100,11.5,overcast clouds
249,Rancho Palos Verdes,US,33.7445,-118.387,73.99,78,20,11.5,few clouds
250,Tabas,IR,33.5959,56.9244,77.23,21,20,6.62,few clouds
251,Garden City,US,42.3256,-83.331,66.45,61,75,9.22,broken clouds
252,Ulaangom,MN,49.9811,92.0667,65.46,26,97,5.23,overcast clouds
253,Iqaluit,CA,63.7506,-68.5145,25.7,86,88,28.01,overcast clouds
254,La Rochelle,FR,46.1667,-1.15,75.27,69,0,11.5,clear sky
255,Henties Bay,NA,-22.116,14.2845,62.28,60,1,11.12,clear sky
256,Saint-Augustin,CA,51.226,-58.6502,53.94,82,92,11.36,overcast clouds
257,Pozo Colorado,PY,-23.4923,-58.7972,76.59,36,92,3.47,overcast clouds
258,Chifeng,CN,42.2683,118.9636,66.09,51,100,7.54,overcast clouds
259,Nayudupeta,IN,13.9,79.9,91.74,46,100,14.12,overcast clouds
260,Grand Forks,US,47.9417,-97.4337,58.73,33,100,6.91,overcast clouds
261,Kondapalle,IN,16.6167,80.5333,91.8,35,14,7.63,few clouds
262,Kutum,SD,14.2,24.6667,83.91,15,98,9.71,overcast clouds
263,Leningradskiy,RU,69.3833,178.4167,31.8,94,100,5.06,overcast clouds
264,Iquitos,PE,-3.7481,-73.2472,86.04,70,75,4.61,broken clouds
265,Enumclaw,US,47.2043,-121.9915,66.15,53,3,5.01,clear sky
266,Cayenne,GF,4.9333,-52.3333,84.09,17,75,13.8,heavy intensity rain
267,Sampit,ID,-2.5333,112.95,74.5,97,64,1.63,broken clouds
268,Half Moon Bay,US,37.4636,-122.4286,76.91,64,0,14.97,mist
269,Graaff-Reinet,ZA,-32.2522,24.5308,50.92,90,53,0.4,broken clouds
270,Kudymkar,RU,59.0173,54.656,34.09,98,100,7.36,overcast clouds
271,Talara,PE,-4.5772,-81.2719,75.96,64,0,20.71,clear sky
272,Zhigansk,RU,66.7697,123.3711,34.93,82,58,5.23,broken clouds
273,Lagoa,PT,39.05,-27.9833,62.33,95,100,6.26,light rain
274,Karpathos,GR,35.507,27.2132,67.96,77,0,24.16,clear sky
275,Deep River,CA,46.1001,-77.4995,51.94,97,100,6.64,overcast clouds
276,Samarai,PG,-10.6167,150.6667,80.31,79,27,6.73,scattered clouds
277,Narodychi,UA,51.2029,29.0823,49.03,94,100,8.66,overcast clouds
278,Lavrentiya,RU,65.5833,-171.0,38.23,74,100,7.65,overcast clouds
279,Tessalit,ML,20.1986,1.0114,98.46,12,35,10.25,scattered clouds
280,Ceuta,ES,35.8903,-5.3075,71.64,75,100,18.25,overcast clouds
281,Mataram,ID,-8.5833,116.1167,76.01,81,100,4.79,overcast clouds
