City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
179,Lola,GN,2022-05-16 14:49:48,7.8,-8.5333,85.48,59,96,3.74
180,Kruisfontein,ZA,2022-05-16 14:50:52,-34.0033,24.7314,74.41,26,0,5.48
181,Aripuana,BR,2022-05-16 14:50:53,-9.1667,-60.6333,81.79,77,100,2.91
182,Dauphin,CA,2022-05-16 14:50:53,51.1494,-100.0502,42.94,75,75,9.22
183,Lompoc,US,2022-05-16 14:50:54,34.6391,-120.4579,55.63,96,100,18.41
184,Kurchum,KZ,2022-05-16 14:50:54,48.5722,83.6542,63.43,53,10,8.03
185,Verkhniye Tatyshly,RU,2022-05-16 14:50:55,56.2912,55.8575,53.28,82,100,7.81
186,Komsomolskiy,UZ,2022-05-16 14:50:56,40.4272,71.7189,79.52,38,58,4.61
187,Traverse City,US,2022-05-16 14:49:00,44.7631,-85.6206,64.99,44,20,9.22
188,Zeya,RU,2022-05-16 14:50:56,53.75,127.2667,37.58,85,100,3.33
189,Hoquiam,US,2022-05-16 14:50:57,46.9809,-123.8893,50.95,93,97,6.82
190,Naze,JP,2022-05-16 14:50:58,28.3667,129.4833,59.92,90,100,10.83
191,Mandan,US,2022-05-16 14:50:59,46.8267,-100.8896,63.37,52,0,3.0
192,La Ronge,CA,2022-05-16 14:50:59,55.1001,-105.2842,34.05,93,100,5.75
193,Tadine,NC,2022-05-16 14:51:00,-21.55,167.8833,74.25,80,35,13.98
194,Saint George,US,2022-05-16 14:51:01,37.1041,-113.5841,66.79,12,0,0.0
195,Port Hardy,CA,2022-05-16 14:51:01,50.6996,-127.4199,46.4,93,40,3.44
196,Puerto Ayora,EC,2022-05-16 14:51:02,-0.7393,-90.3518,78.76,90,68,1.99
197,Egvekinot,RU,2022-05-16 14:51:02,66.3167,-179.1667,20.43,90,31,2.17
198,Coquimbo,CL,2022-05-16 14:43:54,-29.9533,-71.3436,55.13,76,75,4.61
199,Bintulu,MY,2022-05-16 14:51:03,3.1667,113.0333,77.41,94,20,2.3
200,Atambua,ID,2022-05-16 14:51:03,-9.1061,124.8925,72.32,86,5,3.94
201,Flinders,AU,2022-05-16 14:51:04,-34.5833,150.8552,60.06,75,14,3.0
202,Hervey Bay,AU,2022-05-16 14:51:05,-25.2986,152.8535,72.01,96,2,3.0
203,Bilibino,RU,2022-05-16 14:42:19,68.0546,166.4372,29.75,96,100,1.5
204,Tuktoyaktuk,CA,2022-05-16 14:51:07,69.4541,-133.0374,30.2,100,100,10.36
205,Hamilton,US,2022-05-16 14:50:52,39.1834,-84.5333,67.59,74,75,6.91
206,San Patricio,US,2022-05-16 14:51:07,28.017,-97.5169,84.07,54,5,13.0
207,Bonoua,CI,2022-05-16 14:51:08,5.2741,-3.595,85.62,63,99,7.65
208,Bethel,US,2022-05-16 14:42:48,41.3712,-73.414,77.43,73,75,8.05
209,Peleduy,RU,2022-05-16 14:51:09,59.6289,112.7406,41.88,82,64,0.98
210,Yulara,AU,2022-05-16 14:44:12,-25.2406,130.9889,65.44,36,77,13.22
211,Karad,IN,2022-05-16 14:51:09,17.2833,74.2,83.39,62,39,12.75
212,Salalah,OM,2022-05-16 14:51:10,17.0151,54.0924,82.6,69,1,4.83
213,Luanda,AO,2022-05-16 14:51:10,-8.8368,13.2343,82.4,78,20,10.36
214,Westport,US,2022-05-16 14:49:49,41.1415,-73.3579,79.41,83,0,9.22
215,Tiksi,RU,2022-05-16 14:51:11,71.6872,128.8694,19.0,95,100,13.24
216,Tautira,PF,2022-05-16 14:51:12,-17.7333,-149.15,80.85,74,25,15.97
217,Los Llanos De Aridane,ES,2022-05-16 14:51:12,28.6585,-17.9182,69.55,71,40,5.01
218,Upington,ZA,2022-05-16 14:51:13,-28.4478,21.2561,84.58,21,0,8.05
219,Salinas,US,2022-05-16 14:51:13,36.6777,-121.6555,55.92,84,100,6.91
220,Ruidoso,US,2022-05-16 14:51:01,33.3317,-105.673,72.57,66,0,9.22
221,Flin Flon,CA,2022-05-16 14:46:45,54.7682,-101.865,33.64,86,100,5.75
222,East London,ZA,2022-05-16 14:51:14,-33.0153,27.9116,76.14,73,0,5.75
223,Iqaluit,CA,2022-05-16 14:42:16,63.7506,-68.5145,26.33,79,75,13.8
